                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1277,                 4.0877,                 2.8602,                0.24525,                0.26209,                0.14738,                0.05254,                 2.8427,                 2.5549,                 2.9017,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.5407,                 1.6012,                  1.788,                0.48663,                0.46671,                0.40335,                0.15633,                 2.1023,                 2.2812,                 2.1383,              0.0065979,              0.0065979,              0.0065979
                      3,                 1.3052,                 1.3488,                 1.5488,                  0.291,                0.34903,                0.21365,                0.08478,                 2.2012,                 2.5077,                 2.1674,              0.0097993,              0.0097993,              0.0097993
                      4,                 1.2177,                 1.2751,                 1.4674,                0.37529,                0.35663,                0.32764,                0.13152,                 2.0326,                 2.2812,                 2.0806,               0.009703,               0.009703,               0.009703
                      5,                   1.15,                 1.2219,                 1.3973,                0.23578,                0.75701,                0.38287,                0.14397,                   2.32,                 3.0332,                 2.1985,               0.009604,               0.009604,               0.009604
                      6,                 1.1016,                  1.178,                 1.3558,                0.29901,                0.57093,                 0.2817,                0.12668,                 1.8615,                 3.1531,                 1.9222,               0.009505,               0.009505,               0.009505
                      7,                 1.0875,                 1.1483,                 1.3424,                0.39041,                0.49863,                0.34354,                0.14788,                 1.9857,                 2.3722,                 2.0035,               0.009406,               0.009406,               0.009406
                      8,                 1.0718,                 1.1249,                 1.3314,                0.52947,                0.58369,                0.49741,                0.21445,                 1.8251,                 2.0397,                  1.833,               0.009307,               0.009307,               0.009307
                      9,                 1.0567,                 1.0965,                 1.3118,                0.70279,                0.68719,                0.67905,                0.34644,                 1.6471,                 1.8587,                  1.726,               0.009208,               0.009208,               0.009208
                     10,                 1.0485,                 1.0814,                 1.3066,                0.55849,                0.69665,                0.60025,                0.26728,                 1.6735,                 1.7341,                 1.7407,               0.009109,               0.009109,               0.009109
                     11,                 1.0323,                 1.0645,                 1.2969,                0.53287,                0.42716,                0.46188,                0.19559,                 1.8301,                 2.4247,                 1.9093,                0.00901,                0.00901,                0.00901
                     12,                  1.025,                  1.042,                 1.2856,                  0.523,                0.60504,                0.51065,                0.19125,                 2.0763,                 1.9646,                 2.0976,               0.008911,               0.008911,               0.008911
                     13,                 1.0198,                  1.037,                 1.2881,                0.47562,                0.58332,                0.45983,                0.16322,                 2.1403,                 1.9817,                 2.1611,               0.008812,               0.008812,               0.008812
                     14,                 1.0079,                 1.0084,                  1.284,                 0.5854,                0.64286,                0.56425,                0.28584,                 1.6758,                  1.826,                 1.7765,               0.008713,               0.008713,               0.008713
                     15,                 1.0006,                0.99966,                 1.2743,                0.56435,                0.59344,                0.52905,                0.17337,                 2.3223,                 1.9683,                 2.2975,               0.008614,               0.008614,               0.008614
                     16,                0.99748,                0.99612,                  1.269,                0.57786,                0.74119,                0.61969,                0.28168,                 1.7548,                 1.6463,                 1.8377,               0.008515,               0.008515,               0.008515
                     17,                0.98979,                0.98328,                 1.2699,                0.54667,                0.72002,                 0.5489,                0.24882,                 1.7607,                 1.7624,                 1.8444,               0.008416,               0.008416,               0.008416
                     18,                0.99316,                0.97295,                 1.2655,                0.56907,                0.60858,                0.55347,                0.22336,                 2.0622,                 2.0159,                 2.0789,               0.008317,               0.008317,               0.008317
                     19,                 0.9864,                0.97589,                 1.2569,                0.54143,                0.75009,                0.57728,                0.27875,                  1.722,                 1.6753,                 1.8345,               0.008218,               0.008218,               0.008218
                     20,                0.98074,                0.96007,                 1.2593,                0.53831,                0.64406,                0.53515,                0.22735,                 1.9231,                 1.9265,                 1.9769,               0.008119,               0.008119,               0.008119
                     21,                0.98082,                0.95445,                 1.2559,                0.57543,                0.69314,                0.60703,                0.27484,                 1.7757,                 1.7841,                 1.8863,                0.00802,                0.00802,                0.00802
                     22,                0.97588,                0.93883,                 1.2563,                0.56395,                 0.6585,                0.57963,                0.26529,                 1.8001,                 1.8587,                 1.8653,               0.007921,               0.007921,               0.007921
                     23,                0.97804,                0.93278,                 1.2602,                0.56864,                0.77564,                0.61251,                0.28465,                 1.7545,                 1.6527,                 1.8697,               0.007822,               0.007822,               0.007822
                     24,                0.97102,                0.91595,                 1.2446,                0.56581,                0.69892,                0.57278,                0.26862,                 1.7845,                 1.7754,                 1.9035,               0.007723,               0.007723,               0.007723
                     25,                0.96377,                 0.9136,                 1.2497,                0.53539,                0.75987,                0.57868,                0.26051,                 1.8147,                 1.6278,                 1.9559,               0.007624,               0.007624,               0.007624
                     26,                0.96391,                0.91065,                 1.2515,                 0.5705,                0.67804,                0.58273,                0.24037,                 1.9604,                 1.8922,                 2.0566,               0.007525,               0.007525,               0.007525
                     27,                0.96147,                0.90422,                 1.2417,                0.59755,                0.64725,                0.59237,                0.30273,                 1.6732,                 1.9966,                  1.772,               0.007426,               0.007426,               0.007426
                     28,                0.95432,                0.90134,                 1.2387,                 0.5678,                0.73245,                0.60277,                 0.3083,                 1.6706,                  1.669,                 1.8006,               0.007327,               0.007327,               0.007327
                     29,                0.95491,                0.89565,                 1.2417,                0.58466,                0.64915,                0.59626,                0.29761,                 1.7192,                 1.8338,                 1.8488,               0.007228,               0.007228,               0.007228
                     30,                0.95088,                0.88847,                 1.2353,                0.58626,                0.68664,                0.60066,                0.30803,                 1.6928,                 1.7455,                 1.7859,               0.007129,               0.007129,               0.007129
                     31,                0.95716,                0.87823,                 1.2321,                0.56507,                0.66361,                0.58153,                0.28731,                 1.7657,                 1.8061,                 1.8426,                0.00703,                0.00703,                0.00703
                     32,                0.94959,                0.86854,                 1.2315,                0.56436,                0.66005,                0.57945,                0.28563,                 1.7175,                 1.8131,                 1.8326,               0.006931,               0.006931,               0.006931
                     33,                0.94793,                0.87071,                 1.2315,                0.56814,                 0.6778,                0.58643,                0.29496,                 1.6628,                 1.7793,                 1.7919,               0.006832,               0.006832,               0.006832
                     34,                0.94862,                0.85295,                 1.2336,                0.55883,                 0.6612,                0.57849,                0.29168,                  1.683,                 1.7925,                 1.7849,               0.006733,               0.006733,               0.006733
                     35,                0.95071,                0.85665,                 1.2325,                0.56167,                0.68913,                0.58148,                0.28887,                 1.7107,                 1.7275,                 1.8105,               0.006634,               0.006634,               0.006634
                     36,                0.94125,                0.85832,                 1.2276,                0.57618,                0.67297,                0.59136,                0.30508,                 1.6853,                 1.7903,                 1.8073,               0.006535,               0.006535,               0.006535
                     37,                0.93965,                0.84274,                 1.2266,                0.57193,                0.63923,                0.57424,                0.28858,                 1.7153,                  1.879,                  1.831,               0.006436,               0.006436,               0.006436
                     38,                0.93886,                 0.8423,                  1.224,                0.58177,                0.64091,                0.58701,                0.29638,                 1.7037,                 1.8395,                 1.8055,               0.006337,               0.006337,               0.006337
                     39,                0.93938,                0.83905,                 1.2253,                0.59046,                0.65058,                0.60034,                0.30728,                 1.7042,                 1.8182,                 1.8172,               0.006238,               0.006238,               0.006238
                     40,                0.93474,                0.82813,                 1.2244,                0.59451,                 0.6551,                0.59944,                0.30919,                 1.6989,                 1.8071,                 1.8124,               0.006139,               0.006139,               0.006139
                     41,                0.93751,                0.83304,                 1.2222,                0.59128,                0.62726,                0.58423,                0.29703,                 1.7314,                 1.8993,                 1.8421,                0.00604,                0.00604,                0.00604
                     42,                0.93415,                0.82595,                 1.2281,                0.57994,                0.65145,                0.58033,                0.29159,                 1.7469,                 1.8494,                 1.8541,               0.005941,               0.005941,               0.005941
                     43,                0.93158,                0.82248,                 1.2197,                0.58735,                0.67396,                0.59295,                0.30259,                  1.705,                 1.7943,                 1.8188,               0.005842,               0.005842,               0.005842
                     44,                0.92909,                0.81277,                 1.2173,                0.58218,                0.65009,                 0.5849,                0.29656,                 1.7242,                 1.8524,                 1.8392,               0.005743,               0.005743,               0.005743
                     45,                0.92883,                0.82268,                  1.219,                0.57581,                0.64297,                0.57668,                0.29455,                 1.7064,                 1.8567,                  1.825,               0.005644,               0.005644,               0.005644
                     46,                0.92322,                0.81739,                 1.2178,                0.57338,                0.63695,                  0.572,                0.28997,                 1.7055,                  1.879,                 1.8283,               0.005545,               0.005545,               0.005545
                     47,                0.92462,                0.80713,                 1.2099,                0.57617,                0.63671,                0.57953,                0.30356,                 1.6474,                 1.8559,                 1.7725,               0.005446,               0.005446,               0.005446
                     48,                0.92521,                0.80679,                 1.2127,                0.57612,                0.63829,                0.58096,                0.30664,                  1.637,                 1.8401,                 1.7596,               0.005347,               0.005347,               0.005347
                     49,                0.92476,                0.79995,                 1.2089,                0.57768,                 0.6398,                 0.5847,                0.30966,                 1.6348,                 1.8352,                 1.7584,               0.005248,               0.005248,               0.005248
